"REF_DATE","GEO","DGUID","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1993-06","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.076","","","","3"
"1993-07","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.332","","","","3"
"1993-07","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.579","","","","3"
"1993-07","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","9.753","","","","3"
"1993-08","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","12.571","","","","3"
"1993-08","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.985","","","","3"
"1993-08","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","6.586","","","","3"
"1993-09","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.546","","","","3"
"1993-09","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.520","","","","3"
"1993-09","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","9.026","","","","3"
"1993-10","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","11.343","","","","3"
"1993-10","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.621","","","","3"
"1993-10","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.722","","","","3"
"1993-11","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","12.640","","","","3"
"1993-11","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.633","","","","3"
"1993-11","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.007","","","","3"
"1993-12","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.047","","","","3"
"1993-12","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.622","","","","3"
"1993-12","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.425","","","","3"
"1994-01","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","13.205","","","","3"
"1994-01","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","7.914","","","","3"
"1994-01","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.291","","","","3"
"1994-02","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","8.812","","","","3"
"1994-02","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","4.208","","","","3"
"1994-02","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","4.604","","","","3"
"1994-03","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.353","","","","3"
"1994-03","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.710","","","","3"
"1994-03","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.643","","","","3"
"1994-04","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","19.014","","","","3"
"1994-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.865","","","","3"
"1994-04","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","12.149","","","","3"
"1994-05","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","18.441","","","","3"
"1994-05","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.562","","","","3"
"1994-05","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","11.879","","","","3"
"1994-06","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","13.073","","","","3"
"1994-06","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.089","","","","3"
"1994-06","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","6.984","","","","3"
"1994-07","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.256","","","","3"
"1994-07","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.696","","","","3"
"1994-07","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.560","","","","3"
"1994-08","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","12.802","","","","3"
"1994-08","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.949","","","","3"
"1994-08","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","6.853","","","","3"
"1994-09","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","10.488","","","","3"
"1994-09","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.943","","","","3"
"1994-09","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","4.545","","","","3"
"1994-10","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","9.014","","","","3"
