'

"Prov/Terr","FSA","Total","Total income","Net income","Taxable income"
24,"J9H",24230,1464627,1312936,1285184
24,"J9J",28740,1990996,1766646,1744271
24,"J9L",12230,528401,487491,458523
24,"J9P",26730,1581474,1439454,1384231
24,"J9T",10670,560692,508564,489110
24,"J9V",2930,148790,135318,128682
24,"J9X",19100,999660,910602,871700
24,"J9Y",8590,542298,491433,479953
24,"J9Z",6270,311010,284552,270988
24,"Total",6908640,370116909,335492518,322785144
35,"K0A",88690,6170147,5563207,5423613
35,"K0B",17640,924170,850476,812465
35,"K0C",43710,2336754,2142742,2061349
35,"K0E",32290,1703925,1562043,1500296
35,"K0G",32470,1943022,1764219,1710125
35,"K0H",37220,2157369,1955723,1893404
35,"K0J",28740,1449135,1326800,1272139
35,"K0K",95420,4970717,4553700,4375343
35,"K0L",62870,3297790,3018634,2894016
35,"K0M",43700,2355303,2152212,2070461
35,"K1A",70,8624,7680,7592
35,"K1B",13580,778541,703837,684701
35,"K1C",30350,2110986,1883265,1847158
35,"K1E",12160,771724,688979,675528
35,"K1G",27830,1587675,1441828,1393901
35,"K1H",13040,1117003,1003201,973989
35,"K1J",22120,1414438,1275918,1231252
35,"K1K",25810,1412822,1288685,1227920
35,"K1L",13820,759095,697065,664053
35,"K1M",5390,739291,669656,646492
35,"K1N",21210,1338992,1208141,1156029
35,"K1P",720,1060115,1047974,810792
35,"K1R",14810,1024289,926236,881273
35,"K1S",24300,2449162,2196096,2127072
35,"K1T",30930,1772667,1606487,1555170
35,"K1V",43720,2657329,2400082,2318659
35,"K1W",10720,808806,721090,708151
35,"K1X",3370,229344,206234,203144
35,"K1Y",16050,1575412,1417669,1333802
35,"K1Z",17360,1159791,1044595,1000218
35,"K2A",13790,1331999,1194845,1152102
35,"K2B",26000,1360537,1248273,1198537
35,"K2C",22650,1381979,1251838,1218722
35,"K2E",15970,978871,885719,853718
35,"K2G",40470,2641027,2373903,2320413
35,"K2H",21320,1526293,1376324,1337266
35,"K2J",62300,4069619,3650540,3584057
35,"K2K",20030,1582867,1417882,1381885
